Комментарий,Время,Лайки
"Приятно видеть здесь Алексей Валерьевича Кузнецова, более чем удачное приглашение. Успехов Вашему каналу❤",2023-12-18T20:32:21Z,0
"Спасибо, очень интересно! Побольше бы таких выпусков, с погружением в исторический контекст. Трукрайм образовательный.
Вот бы и нам такой же слаженной, неумолимой работы полиции, как при Артуре Вудсе, когда нет ""неприкасаемых"" и можно рассчитывать на защиту и помощь. Миру нужно больше таких людей, как Петрозино.",2023-12-18T17:27:53Z,0
Какая невозможная по нынешним временам строчка в биографии: бедная итальянская семья перебралась в Нью-Йорк и поселилась на Манхэттене,2023-12-18T17:27:29Z,1
"Саша, разберите дело маньяка Братилова из Лысьвы",2023-12-18T17:07:54Z,0
"Очень интересно, прям лучший (для меня) выпуск. А приглашенный гость ПРОСТО НЕВЕРОЯТНЫЙ. 👏👏👏🤩 Пошла гуглить и искать другие видео с ним))☺️🙌",2023-12-18T15:26:14Z,0
"Мальчик: я не буду ее добиваться
Мужчина: добивается одну женщину 10 лет",2023-12-18T14:44:11Z,1
Обожаю выпуски канала Саши Сулим 👏🏻,2023-12-18T14:20:56Z,0
"Саша как всегда прекрасно рассказывает. Чётко, структурно. Благодарю за приглашённых специалистов. Смотреть этот выпуск как мед в уши. Огромная благодарность всем кто причастен. Команде ❤",2023-12-18T13:22:39Z,0
"Саша, было бы интересно посмотреть выпуск про Ирину Гайдамачук, молоточницу.",2023-12-18T12:14:11Z,0
"Саша, очень люблю ваши ролики! Может быть у вас когда-нибудь получится снять выпуск про итальянскую мафию в США. После просмотра сериала ""Тони Сопрано"" стало очень интересно узнать про то, как итальянцы заправляли Америкой",2023-12-18T11:52:27Z,0
Эти видеоэффекты всплывающие конечно.. я думал у меня видеокарта дохнет,2023-12-18T11:52:20Z,0
"В очередной раз поражаюсь тому, какой же Алексей Кузнецов фантастический рассказчик.
Часто слушаю его на Живом гвозде/Дилетанте, а раньше и на закрытом уже Эхе. 
Очень неожиданно и приятно было увидеть его здесь, спасибо!",2023-12-18T11:28:33Z,0
Чарльз Мэнсон,2023-12-18T11:23:54Z,0
"Добрый день! Ваше видео просто супер. Хотелось бы узнать про Теда Банди, если это возможно",2023-12-18T11:16:29Z,0
очередной высер руснявой пропоганды,2023-12-18T11:04:07Z,0
"Здравствуйте, хотелось бы увидеть выпуск о Зодиаке. Спасибо.",2023-12-18T10:41:03Z,0
Можно рассказать про историю Альберта Фиша.,2023-12-18T09:47:30Z,0
"Саша, расскажите об А. Комине, пожалуйста.",2023-12-18T09:20:33Z,0
"хуйня история
обо всём и ни о чём

была ли на самом деле ""Чёрная рука"" ??",2023-12-18T09:20:06Z,0
"А кто-нибудь понял почему Саша несколько раз акцентировала внимание на жителе Нью-Йорка Фарадее? Не уже ли только, что Петрозино его спас от драки и что Фарадей был на похоронах Петрозино или я что-то упустила?",2023-12-18T07:45:38Z,0
"Отвратительно, что эта банда наживалась на своих же, которым в новой стране итак было нелегко. Уроды 😬",2023-12-18T07:26:41Z,1
"За Алексея Валерьевича отдельное спасибо! Надеюсь, это начало долгого сотруднечества.",2023-12-18T06:00:33Z,0
Как много может сделать ‘маленький’ человек по сравнению с большим чиновником !,2023-12-18T05:43:30Z,0
"Очень интересный выпуск! 
Приятно было слушать и Сашу (собственно, как и всегда!), и Алексея Кузнецова.",2023-12-18T05:10:45Z,0
"Какой прекрасный спикер-криминог! Речь, подача... хочется посидеть на его лекциях)",2023-12-17T23:39:57Z,1
"Саша ты красавица,я в тебя влюбился!!!",2023-12-17T23:28:34Z,2
теперь понятно откуда Агата Кристи  взяла такого персонажа как Ланфранко Кассети!,2023-12-17T22:25:36Z,1
Снимете про Евгения Чуплинского🤞🏻,2023-12-17T20:12:40Z,0
Очень качественная подача и разбор материала. Хотелось бы услышать материал про Спесивцева,2023-12-17T19:44:07Z,0
"Сначала был не в восторге от темы, потом втянулся. Даже понравилось! Ещё спасибо за приглашение этого эксперта. Раньше он рассказывал истории про преступность на Эхо Москвы, по голосу его узнал.",2023-12-17T19:32:35Z,1
"Посмотрела сериал ""Black bird"" про американского убийцу Ларри Холла. 
Очень хочется разобраться в его жизни с призмы вашей подачи.",2023-12-17T16:12:43Z,0
Олег Мураенко,2023-12-17T15:47:41Z,0
"Александра, сделайте видео про Генри Холмса, первого серийного убийце Америки. Довольно жуткая история и очень интересная.",2023-12-17T15:41:58Z,0
"Саша, скандинавы пишут и снимают детективы, а как у них дела с серийными убийцами? Вдруг в Европе и в скандинавских странах были, подходящие к теме канала, персонажи 🧐",2023-12-17T15:18:04Z,0
"Ну тогда уж и про Корпорацию убийств было б интересно послушать))
Спасибо за очень интересный ролик!",2023-12-17T13:19:29Z,0
Спасибо за выпуск. Невероятная история жизни невероятного человека. Вот про кого нужно снимать сериалы. Какой мразью надо быть чтобы убить такого человека.,2023-12-17T13:05:22Z,1
"Абсолютно не понимаю, почему Сулим смотрят,веть а Яндексе всё это есть  она не ничего нлвого не производит   более чем , она Абсолютно непрофессиональна,Саша Суллим мало что знаеь о том, о чем говорит,  то есть ни л чем",2023-12-17T12:31:49Z,1
Расскажите про Братскую ОПГ (Скрипники),2023-12-17T09:51:21Z,0
"вывод такой: ирландцы и северные европейцы ксенофобы с древних времён. 
ничего не меняется тысячелетиями",2023-12-17T09:44:44Z,0
"Конечно, не серийный убийца, но хотелось посмотреть про Брейвика. Как идеи становятся поводом для убийств.",2023-12-17T09:36:02Z,0
"Саша, спасибо за выпyск.
Расскажите, пожалyйста, о Карле Хомолке, ее история довольно жyткая.",2023-12-17T09:24:33Z,0
"Саша, браво ! Смотрю все выпуски не пропуская. Профиссиональная работа 👋",2023-12-17T07:39:03Z,0
"На самом деле, о маньяках уже рассказано очень много. Но работы там все ещё непаханое поле. Потому, вот вам темы для следующих выпусков, о которых хотелось бы услышать именно в вашей версии: Ночной демон Берлизов, лифтёр Гридин, Режиссер смерти Асратян, Людоед-домушник Спесивцев, непойманные Даниловский, Барнаульский, Тюменский маньяки. Великолукский режиссер и ещё много каких еще",2023-12-17T02:23:25Z,0
РАССКАЖИ ПРО ЗАДИАКА))),2023-12-17T00:38:56Z,0
"Не знаю как остальные, но я тут посмотрел сериал Фишер и было бы неплохо, если бы Вы рассказали про Сергея Головкина",2023-12-16T23:58:57Z,1
"Саша, ну каким местом профайлинг является научным методом? Это обычное шарлатанство. Понятно, что рекламные деньги не пахнут, но после такого нормальным рекламодателям к автору уже нет смысла обращаться, т.к. все понимают, что этот автор уже рекламировал мошенников и зрители ему не доверяют.",2023-12-16T23:10:12Z,0
Спасибо,2023-12-16T22:47:46Z,0
