Комментарий,Время,Лайки
Жаль что один раз в месяц😢 Саша здравствуйте❤🎉,2023-12-13T14:31:49Z,2
Алексей Валерьевич ❤,2023-12-13T14:30:51Z,3
"Саша, сделайте выпуск про Сливко,он жил и работал в моём городе Невинномысск.
Я ходил в его туристический клуб в то время,когда он убивал детей.
Про него много уже снято, но Вы сможете сделать это лучше.❤",2023-12-13T14:30:00Z,8
"Первый выпуск, который не досмотрела до конца. Жаль, что теряете шарм!!! Кому интересен Петрозино??? Как Вам это пришло в голову!",2023-12-13T14:29:40Z,1
"Александра, спасибо за новый невероятный выпуск. Слушать как всегда интересно. Ваши фильмы доказывают, что криминальная сторона жизни - познавательно. Они раскрывают наш мир и людей в нём по-новому, и, конечно, же позволяют узнать о интересных личностях, о которых мало говорят в информационном поле.",2023-12-13T14:28:51Z,6
"Вау! Ну просто пушечка!!! Каждое новое видео такое интересное, профессиональное. Хочется смотреть не отрываясь)) Приятно осознавать какой труд проделывает Саша и её команда ради нас 🤓☺️",2023-12-13T14:26:29Z,17
Достаю еду))))),2023-12-13T14:25:53Z,1
"Ураааа, новый выпуск 😍😍😍",2023-12-13T14:25:18Z,0
"Саша, спасибо за новый выпуск. Формат с людьми разбирающимися. У меня вопрос: тебе не подошел формат с комиками и другими людьми (Фаус же был еще)? Просто будто бы не хватает общения со зрителями в их лице. Мне кажется, было здорово. Есть мысли что-то подобное вернуть в новые видео или ты полностью перешла в именно такой формат классического повествования подкаста? Будет классно, если ответишь)",2023-12-13T14:24:52Z,0
"А вот и видос) всем прятного просмотра!) Александра,вы прекрасны😉",2023-12-13T14:24:44Z,0
"Саша, спасибо Вам за очередной шикарный выпуск!❤",2023-12-13T14:24:15Z,7
Хотелось бы поставить отдельный лайк за Алексея Кузнецова! 🥰,2023-12-13T14:23:56Z,3
Куда можно поставить отдельный миллион Лайков Алексею Кузнецову? Смотрю все его исторические сериалы ❤️,2023-12-13T14:23:21Z,188
Какой урод придумал рекламу (,2023-12-13T14:22:36Z,3
За Алексея Кузнецова отдельная благодарность!,2023-12-13T14:21:42Z,4
Сериал про них ждать?,2023-12-13T14:20:36Z,0
Флешбеки комиссара Катани 😮,2023-12-13T14:20:25Z,2
"Вижу Александру - все бросаю, иду смотреть ) Александра - и пусть весь мир подождет ❤",2023-12-13T14:20:08Z,9
"Поистине киношная история, спасибо. Даже есть, что-то воодушевляющее и поучительное  в этом.",2023-12-13T14:19:57Z,5
"Александра привет. Ты супер, ❤❤❤. Если не сложно сделай выпуск про Архангельского Мясника  Третьякова  )))))",2023-12-13T14:19:35Z,1
Саша Сулим - сращу лайк ✌️💜,2023-12-13T14:17:00Z,0
❤❤❤,2023-12-13T14:16:36Z,0
Та ты заебала столько рекламы совать в видео.,2023-12-13T14:16:01Z,2
Спасибо за Алексея Кузнецова. У него уже давно выходит программа про криминальные дела.,2023-12-13T14:13:47Z,3
Хочется про Россию,2023-12-13T14:13:20Z,0
Кузнецов!! Это Круто,2023-12-13T14:13:05Z,4
"Саша делает классные вещи. я про казанских недавно ещё раз пересмотрел. шикарные работы делаешь, Саша.✨",2023-12-13T14:12:52Z,1
Супер! ❤,2023-12-13T14:12:09Z,0
Люблю❤,2023-12-13T14:11:36Z,0
"ЗАДОЛБАЛИ! УДАЛИТЕ эту мразную ЖЕЛТУЮ ленту, которая летает на кадрах с фотографиями",2023-12-13T14:11:32Z,4
"Только книжку дочитала, очень интересно",2023-12-13T14:09:46Z,0
Скучная рекламка.. не более. Саша разочарование.,2023-12-13T14:09:31Z,2
Тринити лучше всех рассказывает про маньяков,2023-12-13T14:08:46Z,1
"ТОП контент!! Побольше бы про Америку, Европу",2023-12-13T14:08:42Z,0
"Наша любимая Сашенька! Спасибо за новое видео, оно шикарное",2023-12-13T14:08:06Z,1
а когда будет про фишера?,2023-12-13T14:07:58Z,1
"очень интересный ролик, спасибо ❤",2023-12-13T14:05:21Z,0
Еще раз говориться о том что вы все бабы шлюхи,2023-12-13T14:04:47Z,0
О и Алексей Кузнецов теперь на прекрасном канале 🎉,2023-12-13T14:03:52Z,5
Спасибо за выпуск,2023-12-13T14:03:08Z,0
"по зову сердца, спасибо за видео❤❤❤",2023-12-13T14:00:05Z,0
"Как всегда безупречно! Спасибо, Александра!",2023-12-13T13:59:57Z,3
"планировалось включить ролик ""на фон послушать"", но я не могу оторваться и перестать смотреть. мне ужасно нравится Ваш образ, потрясающий гость, классный монтаж и материалы. спасибо за Ваш труд",2023-12-13T13:59:48Z,103
"Спасибо за гостя, было очень интересно послушать!",2023-12-13T13:58:38Z,3
Хотелось бы больше выпусков и подольше.)),2023-12-13T13:55:42Z,0
Спасибо за Алексея Валерьевича. Такой артистичный рассказ об истории столетней давности делает все ближе к сердцу. Хотя история сама по себе интересная.,2023-12-13T13:53:50Z,400
"Правильно говорить ""брелоки"";)",2023-12-13T13:53:44Z,2
Эдуард Успенский -Чёрная рука 🙂,2023-12-13T13:52:15Z,1
"Саша ты очень интересный рассказчик , что очень важно для самой с истории, хотелось, чтобы ролики стали еженедельными😊) но думаю на сбор информации нужно больше времени.",2023-12-13T13:51:30Z,9
"Спасибо за выпуск, всегда интересно слушать такие выпуски.",2023-12-13T13:51:29Z,0
"Спасибо за выпуск. Пожалуйста, делайте 1 интеграцию, не 2, не 3. Бесит",2023-12-13T13:48:12Z,2
Можно еще про банды Тольятти 🔫,2023-12-13T13:47:48Z,2
Вижу новый ролик и сразу ставлю лайк ❤,2023-12-13T13:47:13Z,0
лучшая!!! прекрасный выпуск!,2023-12-13T13:47:08Z,0
Потрясающе интересно ❤,2023-12-13T13:46:59Z,0
Саша завораживает и приковывает внимание с первого слова 😍🌹,2023-12-13T13:46:39Z,4
Отличный выпуск! Спасибо!,2023-12-13T13:46:09Z,0
👍👍👍,2023-12-13T13:45:48Z,0
"Спасибо за выпуск! Хотелось бы больше про отечественных ублюдков, иностранные утомили уже (",2023-12-13T13:45:23Z,3
"Здравствуйте. Саша не могу не отметить, что с каждым выпуском вы все хорошеете и хорошеете. Ваш образ становится все более выразительным. Вау.",2023-12-13T13:42:54Z,130
"саш, сними пожалуйста видео про банды бто, шульц 88 и прочие",2023-12-13T13:42:24Z,0
Об Эдмунде Кемпэре,2023-12-13T13:40:53Z,0
"Так вот откуда ноги растут у черной/красной руки,которые вылезали из труб ,подвалов и похищали девочек и мальчиков 😂 А стоило то ,только лет 30 прожить 😂😂",2023-12-13T13:40:49Z,4
Спасибо за гостя!,2023-12-13T13:40:29Z,1
Алексей Кузнецов - какой харизматичный мужчина и великолепный рассказчик!,2023-12-13T13:40:01Z,5
"Так долго ждала новый выпуск.. прихожу со школы после сложного дня,а тут уведомление от любимой Саши😫❤️",2023-12-13T13:39:37Z,4
Хороший вечер среды начинается с вашего выпуска),2023-12-13T13:37:35Z,0
"Саша, будет интересно послушать про кооператив узник!! 🥹💙",2023-12-13T13:37:11Z,1
👍,2023-12-13T13:36:59Z,0
"Саша, спасибо большое за очень интересную историю! Видео огонь🔥",2023-12-13T13:36:59Z,1
"Опять в слишком закрытой одежде, лайк не поставлю",2023-12-13T13:35:52Z,1
Спасибо за интереснейшее видео! Алексей Кузнецов замечателен!,2023-12-13T13:35:51Z,4
Она похожа на труп),2023-12-13T13:35:27Z,1
"Минаев интересней рассказал об этой банде. По мне, так видео получилось не очень",2023-12-13T13:34:56Z,1
снова 99999 интеграций?),2023-12-13T13:34:17Z,0
"Саша, с каждым выпуском вы все краше и краше ❤",2023-12-13T13:34:06Z,6
Не интересно.... 👎👎👎👎👎,2023-12-13T13:33:57Z,1
"Один из лучших каналов в русскоязычном ютубе! Саша и все-все-все, кто работает над светом, звуком, монтажом этих подкастов... Ребята, вы великолепны! СПАСИБО от души!",2023-12-13T13:32:27Z,457
"уфф, алейксей валерьевич, спасибо",2023-12-13T13:30:30Z,2
Спасибо,2023-12-13T13:30:04Z,0
Сашин голос для меня полное погружение в тему,2023-12-13T13:29:50Z,1
Кажется этой историей о черной руке вдохновлялась Агата Кристи при написании Восточного экспресса,2023-12-13T13:29:40Z,2
Это случайно не про фильм «охотники на гангстеров»?,2023-12-13T13:29:40Z,0
la mano negra?,2023-12-13T13:28:39Z,0
"Первая минута и сразу реклама всратых Строк от мтс. Но за ролик, все равно спасибо, будет интересно.",2023-12-13T13:28:26Z,0
"Только сегодня пересматривала выпуск про Теда Банди и думала: "" Поскорее бы новое видео"" и вот оно! Спасибо Саше за проделанную работу и всей ее команде ❣",2023-12-13T13:28:15Z,47
Я люблю засыпать под её видео😅🎉,2023-12-13T13:26:04Z,1
"Замечательный выпуск!! Саша, спасибо! Как обычно на высоте!❤ Приглашайте Алексея почаще, очень приятно и интересно его слушать!❤❤",2023-12-13T13:25:02Z,41
Спасибо жду каждый выпуск ❤,2023-12-13T13:24:24Z,0
"О боже мой!!! Спасибо за видео, всем приятного просмотра💋",2023-12-13T13:23:53Z,1
Спасибо за выпуск.,2023-12-13T13:23:38Z,0
"СПАСИБО, САША!",2023-12-13T13:23:11Z,0
"Снова про гипотетические безликие банды,  причём из другой страны. Про Казань-то был провальный выпуск, с какими-то карикатурными участниками событий, хотя много более интересного материала на эту тему... Даже смотреть не буду...",2023-12-13T13:21:54Z,0
А банда ''чёрный член'' существует?,2023-12-13T13:21:01Z,0
"Ура, новый выпуск, бегу сиотреть ❤",2023-12-13T13:16:48Z,0
Большое спасибо за выпуск и отдельная благодарность за приглашение Алексея Кузнецова,2023-12-13T13:16:24Z,28
"Саша, ты сама веришь в свою рекламу",2023-12-13T13:16:21Z,1
"Давай, Сашенька, родненькая, завози контент🎉🎉🎉
Очередной разъёб от Сулим",2023-12-13T13:15:10Z,1
Долгожданный новый выпуск❤,2023-12-13T13:14:44Z,0
Для продвижения канала.,2023-12-13T13:13:23Z,1
Прекрасно! Каждый раз жду новый выпуск!,2023-12-13T13:13:05Z,0
Когда понимаешь что следующий час будет ахринительный. Саша спасибо),2023-12-13T13:13:02Z,4
"Спасибо, люблю криминальную тему штатов начала 20-го века, но вот про такую банду не слышал...",2023-12-13T13:11:20Z,2
Железные рукава!!!,2023-12-13T13:11:09Z,3
23 минуты назад вышел ролик и уже 100 коментов,2023-12-13T13:10:36Z,0
Криминальные выпуски про банды мне к сожалению не заходят(,2023-12-13T13:10:07Z,1
Божественно,2023-12-13T13:07:30Z,1
"На глазах. Ближайший час пройдет у меня хорошо, спасибо за выпуск!",2023-12-13T13:07:25Z,1
❤️❤️❤️,2023-12-13T13:06:09Z,1
"Не по колокольчику, а по зову сердца! 🎉",2023-12-13T13:05:31Z,2
Топ 😮,2023-12-13T13:05:13Z,0
Интересная подача и выпуски. Спасиб!,2023-12-13T13:05:10Z,1
Дон Фануччи лишь хотел промочить клювик,2023-12-13T13:05:06Z,2
"как раз нужно было что-то расслабляющее после коллоквиума по факультетской терапии, спасибо",2023-12-13T13:04:44Z,9
"Вся эта ,, Мафия "" создаётся мycopaмu и властью для грабежа и устранения неугодных .
Остальное - это сказка про сашу белого и слово пиздюка  для школоты и безотцовщины.",2023-12-13T13:04:24Z,0
"Вижу новый выпуск- ставлю лайк. Саша, ты супер, не останавливайся!",2023-12-13T13:04:23Z,2
Когда про русский тру крайм будут новые видео?,2023-12-13T13:03:37Z,1
"Как всегда шикарно, спасибо ☺",2023-12-13T13:03:17Z,0
"Спасибо за выпуск!! Очень интересно слушать, обожаю",2023-12-13T13:02:50Z,2
"Александра, а можно рассказать про банду-прототип ""Чёрная кошка""?",2023-12-13T13:02:03Z,3
Снова прогрев перед выходом сериала?,2023-12-13T13:00:17Z,0
Столько ожидания про маньяка коту под хвост(,2023-12-13T12:59:45Z,0
"Интересно было бы посмотреть и про мафию в Китае и Японии, раз на то пошло:))",2023-12-13T12:59:27Z,20
Ништяки подъехали,2023-12-13T12:58:26Z,0
"Лайк до просмотра, потому что знаю, что выпуск будет супер)",2023-12-13T12:58:22Z,0
С нетерпением ждала выпуск!❤,2023-12-13T12:57:13Z,0
👍👍👍👍👍👍,2023-12-13T12:57:11Z,0
Вот зачем   нам нужно про  итальянскиз бомжей  в Нью Йорке) Саня  сними уже про наших российских чушпанов,2023-12-13T12:56:39Z,0
Ураа!,2023-12-13T12:56:28Z,0
"ох, только отошла от температуры 39 и тут новое видео! спасибо!",2023-12-13T12:55:56Z,0
"По зову сердца, видим Сулим- ставим лайк!❤",2023-12-13T12:55:52Z,44
"Каждое видео смотрю с большим интересом, Саша, спасибо за такой качественный контент!",2023-12-13T12:55:21Z,5
Саша + Алексей Кузнецов это лучший коктейль для любителя Тру крайм!!!,2023-12-13T12:54:59Z,8
Эх ждал о наших (,2023-12-13T12:54:53Z,1
"Оо, Алексей Валерьевич) класс ! Спасибо большое !",2023-12-13T12:54:51Z,2
Вижу Сашу - ставлю лайк не глядя. А потом уже глядя :),2023-12-13T12:54:16Z,1
La mano nera. Почему не negro?,2023-12-13T12:54:11Z,1
"Что за вранье?в америке нет преступности,а если и есть то полиция сразу ловит их,в отличие от российской и советской,которые вообще непойми чем занимались",2023-12-13T12:54:09Z,0
"Прекрасный выпуск ❤ лучшее , что могло быть за этот день )❤",2023-12-13T12:54:03Z,2
"Смотрю на одном дыхании, Александра,спасибо за труды❤",2023-12-13T12:53:51Z,36
"Не по уведомлению, а по зову сердца включила",2023-12-13T12:53:33Z,1
🎉,2023-12-13T12:53:30Z,1
"как раз искала что посмотреть, спасибо за работу тебе саша и твоей команде!!❤❤❤",2023-12-13T12:52:48Z,14
Саша Сулим-лайк ❤,2023-12-13T12:52:19Z,1
"Почему друг за другом повторяет темы ,ужас какой-то, ума своего нет😢",2023-12-13T12:52:18Z,0
Вот это уровень!😮,2023-12-13T12:52:16Z,2
"Спасибо за выпуск ❤
Хочу услышать  от Вас оСуини Тодде",2023-12-13T12:52:16Z,0
Саша Сулим как всегда на высоте! Но меня пугают люди которын за 3 минуты просмотрели все видео.. 😅,2023-12-13T12:51:20Z,103
Молодцы ребята 💪💪💪💪,2023-12-13T12:50:46Z,0
Ещё не смотрела но ставлю лайк.всегда интересно!спасибо!,2023-12-13T12:50:32Z,3
"Только закончив работать заходишь в ютуб и видишь выпуск . Этот вечер прекрасен .Саша спасибо за то , что ты делаешь ❤",2023-12-13T12:50:32Z,1290
"Привлекло название, очень люблю этот фильм",2023-12-13T12:50:31Z,0
Всем приятного просмотра ❤❤❤,2023-12-13T12:50:30Z,2
"Спасибо за видео
Во время я кофе заварила",2023-12-13T12:50:18Z,1
"Молодец, всегда смотрю ваши ролики, очень интересная подача, ну и харизма ведущей",2023-12-13T12:50:07Z,4
"Вот ,это мы смотрим . Спасибо за не зря потраченное мое время❤",2023-12-13T12:50:02Z,5
По зову сердца,2023-12-13T12:49:48Z,0
Всем хорошего просмотра!!!✨,2023-12-13T12:49:44Z,1
Приятного просмотра всем❤,2023-12-13T12:49:30Z,2
Здравствуйте. Спасибо за видео. Начинаем смотреть. Чёрная рука,2023-12-13T12:49:27Z,0
❤❤❤❤❤❤❤,2023-12-13T12:49:15Z,1
"О, любимый Алексей Кузнецов! Спасибо за интересного гостя и выпуск!",2023-12-13T12:49:13Z,2
"О, Кузнецов! Крутой дуэт.",2023-12-13T12:48:57Z,5
Спасибо! Смортим❤❤❤❤❤❤❤,2023-12-13T12:48:33Z,1
Приятного просмотра!,2023-12-13T12:48:29Z,1
Пересказ фильма Банды Нью Йорка,2023-12-13T12:48:25Z,2
ура новый выпуск,2023-12-13T12:48:21Z,2
🔥🔥🔥,2023-12-13T12:48:19Z,1
Приятного просмотра),2023-12-13T12:48:14Z,1
дождались!!!,2023-12-13T12:48:00Z,2
Ура Саши новое видео),2023-12-13T12:48:00Z,2
Всем приятного просмотра!! Спасибо за выпуск❤,2023-12-13T12:47:58Z,237
🎉 ура,2023-12-13T12:47:42Z,1
Будем посмотреть,2023-12-13T12:47:41Z,1
😊,2023-12-13T12:47:27Z,1
САША ЛУЧШАЯ!!!! ❤❤❤❤❤,2023-12-13T12:47:24Z,4
В поддержку канала,2023-12-13T12:47:21Z,7
❤️‍🔥❤️‍🔥❤️‍🔥,2023-12-13T12:47:15Z,1
"Уф, дождалась…",2023-12-13T12:47:14Z,2
